id	lifestyle	species	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name
Aureobasidium_sp._FSWF8-4	Unknown	Aureobasidium sp. FSWF8-4	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
Aureobasidium_subglaciale	Unknown	Aureobasidium subglaciale	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
Auricularia_auriculajudae	Saprotrophic	Auricularia *	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Auricularia_cornea	Saprotrophic	Auricularia cornea	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Auricularia_heimuer	Saprotrophic	Auricularia heimuer	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Auricularia_polytricha	Saprotrophic	Auricularia polytricha	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Auricularia_subglabra	Saprotrophic	Auricularia subglabra	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Auriculariopsis_ampla	Saprotrophic	Auriculariopsis ampla	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Auriculariopsis
Austropuccinia_psidii	Plant pathogen	Austropuccinia psidii	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Austropuccinia
Babjeviella_inositovora	Unknown	Babjeviella inositovora	Fungi	Ascomycota	Pichiomycetes	Serinales		Babjeviella
Baeospora_myosura	Saprotrophic	Baeospora myosura	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae	Baeospora
Balansia_obtecta	Plant pathogen	Balansia obtecta	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Balansia
Barnettozyma_californica	Saprotrophic	Barnettozyma californica	Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Barnettozyma
Barnettozyma_hawaiiensis	Unknown	Barnettozyma hawaiiensis	Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Barnettozyma
Barnettozyma_populi	Unknown	Barnettozyma populi	Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Barnettozyma
Barnettozyma_pratensis	Unknown	Barnettozyma pratensis	Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Barnettozyma
Barnettozyma_salicaria	Unknown	Barnettozyma salicaria	Fungi	Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Barnettozyma
Basidioascus_undulatus	Saprotrophic	Basidioascus undulatus	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Basidioascus
Basidiobolus_heterosporus	Unknown	Basidiobolus heterosporus	Fungi	Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus
Basidiobolus_meristosporus	Animal pathogen	Basidiobolus meristosporus	Fungi	Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus
Batrachochytrium_dendrobatidis	Animal pathogen	Batrachochytrium dendrobatidis	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium
Batrachochytrium_salamandrivorans	Animal pathogen	Batrachochytrium salamandrivorans	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium
Baudoinia_panamericana	Saprotrophic	Baudoinia panamericana	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Baudoinia
Beauveria_bassiana	Entomopathogenic	Beauveria bassiana	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria
Beauveria_pseudobassiana	Entomopathogenic	Beauveria pseudobassiana	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria
Beauveria_rudraprayagi	Entomopathogenic	Beauveria rudraprayagi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria
Beverwykella_pulmonaria	Unknown	Beverwykella pulmonaria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Beverwykella
Bifiguratus_adelaidae	Saprotrophic	Bifiguratus adelaidae	Fungi	Mucoromycota	Endogonomycetes	Endogonales		Bifiguratus
Bipolaris_cookei	Plant pathogen	Bipolaris cookei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_maydis	Plant pathogen	Bipolaris maydis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_oryzae	Plant pathogen	Bipolaris oryzae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_sorokiniana	Plant pathogen	Bipolaris sorokiniana	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_victoriae	Plant pathogen	Bipolaris victoriae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Bipolaris_zeicola	Plant pathogen	Bipolaris zeicola	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
Blastobotrys_adeninivorans	Saprotrophic	Blastobotrys adeninivorans	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_americana	Unknown	Blastobotrys americana	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_mokoenaii	Animal pathogen	Blastobotrys mokoenaii	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_muscicola	Unknown	Blastobotrys muscicola	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_nivea	Unknown	Blastobotrys *	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_peoriensis	Unknown	Blastobotrys peoriensis	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_proliferans	Unknown	Blastobotrys proliferans	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_raffinosifermentans	Unknown	Blastobotrys raffinosifermentans	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastobotrys_serpentis	Unknown	Blastobotrys serpentis	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Blastobotrys
Blastomyces_dermatitidis	Animal pathogen	Blastomyces dermatitidis	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces
Blastomyces_gilchristii	Animal pathogen	Blastomyces gilchristii	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces
Blastomyces_parvus	Animal pathogen	Blastomyces parvus	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces
Blastomyces_percursus	Animal pathogen	Blastomyces percursus	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces
Blastomyces_sp._MA-2018	Unknown	Blastomyces sp. MA-2018	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces
